Smiles,BalabanJ,BertzCT,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA2,EState_VSA3,EState_VSA4,FractionCSP3,Ipc,Kappa2,Kappa3,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MinAbsEStateIndex,MinAbsPartialCharge,MinPartialCharge,NumRotatableBonds,PEOE_VSA10,PEOE_VSA7,PEOE_VSA8,SlogP_VSA3,SlogP_VSA4,VSA_EState4,VSA_EState6,VSA_EState7,VSA_EState9,fr_aryl_methyl,fr_unbrch_alkane,LUMO_eV
[N+]1(C)=CN(C(C)C(C)(C(C)C)C(C)C)(C=C1),3.049613143,328.25947,4.624833387,4.624833387,2.651209092,2.651209092,0,23.29264339,0,0.785714286,3118.816335,4.603089639,2.157906857,2.409722222,0.243263194,2.409722222,0.325416667,0.239526494,-0.239526494,4,18.43552797,18.75954929,5.414990469,7.047671983,17.25080256,0.325416667,0.521944444,6.457268519,2.074710884,1,0,-4.814785116
[N+]1(C)=CN(C(C)C(CC)(CC)CCC)(C=C1),2.935379273,310.2901724,4.278993367,4.278993367,2.915911451,2.915911451,0,11.4568313,0,0.785714286,4326.565306,5.51211635,2.474730855,2.36375,0.243263018,2.36375,0.459097222,0.239526495,-0.239526495,6,18.43552797,26.18620207,5.414990469,7.047671983,5.414990469,0.459097222,0.586712963,11.64146377,2.085924745,1,0,-4.769069964
[N+]1(C)=CN(C(C)C(CC)(CC)C(C)C)(C=C1),3.036278107,321.2312615,4.534971642,4.534971642,3.135137967,3.135137967,0,17.37473734,0,0.785714286,3783.542559,5.026927203,2.157906857,2.354166667,0.243263192,2.354166667,0.40875,0.239526494,-0.239526494,5,18.43552797,25.68328649,5.414990469,7.047671983,11.33289652,0.40875,0.558981481,8.9738048,2.081513605,1,0,-4.801995758
[N+]1(C)=CN(C(CC)CCCCCCC)(C=C1),2.268087276,278.0176381,3.323194276,3.323194276,2.232956626,2.232956626,0,6.041840829,0,0.785714286,5121.480356,7.4779029,4.377768666,2.360933248,0.243252486,2.360933248,0.697061602,0.23952665,-0.23952665,8,18.43552797,19.26246487,0,7.047671983,0,0,0.697061602,16.00193699,2.087766097,1,3,-5.001999548
[N+]1(C)=CN(C(CC)CCCCC(C)C)(C=C1),2.32268958,288.6803776,3.2511153,3.2511153,2.181989093,2.181989093,0,6.041840829,5.917906046,0.785714286,4283.051733,6.719624168,4.377768666,2.356522109,0.243252486,2.356522109,0.688298375,0.23952665,-0.23952665,7,18.43552797,25.18037091,0,7.047671983,5.917906046,0,0.688298375,13.16100414,2.085300532,1,1,-4.945127722
[N+]1(C)=CN(C(CC)CCCC(C)CC)(C=C1),2.377982879,290.6803776,3.613487736,3.613487736,2.155502656,2.155502656,0,6.041840829,5.917906046,0.785714286,4661.75639,6.719624168,3.992427408,2.357750378,0.243252486,2.357750378,0.685422336,0.23952665,-0.23952665,7,18.43552797,25.18037091,0,7.047671983,5.917906046,0,0.685422336,13.09914533,2.085691479,1,0,-4.942406582
[N+]1(C)=CN(C(CC)CCCC(C)(C)C)(C=C1),2.44103422,306.7803974,3.146417581,3.146417581,2.117457827,2.117457827,0,11.4568313,0,0.785714286,3286.843491,5.51211635,4.377768666,2.349861111,0.243252486,2.349861111,0.471870985,0.23952665,-0.23952665,5,18.43552797,31.09827696,0,7.047671983,5.414990469,0.471870985,0.669953704,11.64384531,2.081720285,1,0,-4.902405824
[N+]1(C)=CN(C(CC)CCC(C)CCC)(C=C1),2.432387826,290.6803776,3.456457102,3.456457102,2.363482382,2.363482382,0,6.041840829,5.917906046,0.785714286,4494.57803,6.719624168,3.992427408,2.380833333,0.243252487,2.380833333,0.681024187,0.23952665,-0.23952665,7,18.43552797,25.18037091,0,7.047671983,5.917906046,0,0.681024187,13.09313594,2.086238032,1,0,-4.925807628
[N+]1(C)=CN(C(CC)CCC(C)C(C)C)(C=C1),2.497181699,301.4389154,3.775596396,3.775596396,2.038052782,2.038052782,0,6.041840829,11.83581209,0.785714286,4019.351419,6.071095802,3.655812089,2.368101852,0.243252487,2.368101852,0.668888889,0.23952665,-0.23952665,6,18.43552797,31.09827696,0,7.047671983,11.83581209,0,0.668888889,10.3462689,2.083295645,1,0,-4.923086488
[N+]1(C)=CN(C(CC)CCC(CC)CC)(C=C1),2.490315329,286.6803776,3.745132236,3.745132236,2.374453423,2.374453423,0,6.041840829,5.917906046,0.785714286,4863.441172,6.719624168,3.655812089,2.363472222,0.243252487,2.363472222,0.682222222,0.23952665,-0.23952665,7,18.43552797,25.18037091,0,7.047671983,5.917906046,0,0.682222222,13.08378102,2.087410872,1,0,-4.902405824
