Smiles,HOMO_eV,LUMO_eV
[N+]1(C(C)C(C)(C)C)=CN(C(C)(C)C)(C=C1),-11.661173355999999,-4.562807552
[N+]1(C(CC)CCC)=CN(C(C)(C)C)(C=C1),-11.698725088000002,-4.636006218
[N+]1(C(CC)C(C)C)=CN(C(C)(C)C)(C=C1),-11.688928984,-4.625665886
[N+]1(C(C)(C)CCC)=CN(C(C)(C)C)(C=C1),-11.65600319,-4.494234824
[N+]1(C(C)(C)C(C)C)=CN(C(C)(C)C)(C=C1),-11.598315022000001,-4.545392256
[N+]1(C(C)(CC)CC)=CN(C(C)(C)C)(C=C1),-11.60838324,-4.573419998
[N+]1(CC(CC)CC)=CN(CCCC)(C=C1),-11.870156908,-4.886895326
[N+]1(CC(C)(C)CC)=CN(CCCC)(C=C1),-11.781991972,-4.876827108
[N+]1(C(C)CCCC)=CN(CCCC)(C=C1),-11.770563184,-4.852608962
[N+]1(C(C)CC(C)C)=CN(CCCC)(C=C1),-11.793692874000001,-4.853969532000001
[N+]1(CCCCC)=CN(CCC)(C=C1),-11.893558712,-5.021319642
[N+]1(CC(C)CC)=CN(C(C)C)(C=C1),-11.843217622000001,-4.895058746
[N+]1(CC(C)(C)C)=CN(C(C)C)(C=C1),-11.830700378,-4.829207158
[N+]1(C(C)CCC)=CN(C(C)C)(C=C1),-11.825258098,-4.772607446
[N+]1(C(C)C(C)C)=CN(C(C)C)(C=C1),-11.794237102,-4.783219892
[N+]1(C(CC)CC)=CN(C(C)C)(C=C1),-11.799135154,-4.803900556
[N+]1(C(C)(C)CC)=CN(C(C)C)(C=C1),-11.713691358,-4.729885548
[N+]1(CCC(C)C)=CN(CCC)(C=C1),-11.950430538,-4.956828624
[N+]1(CC(C)CC)=CN(CCC)(C=C1),-11.918865314000001,-4.939413328
[N+]1(CC(C)(C)C)=CN(CCC)(C=C1),-11.870701136000001,-4.958461308
[N+]1(C(C)CCC)=CN(CCC)(C=C1),-11.845666648,-4.91301827
[N+]1(C(C)C(C)C)=CN(CCC)(C=C1),-11.867707882000001,-4.8251254480000005
[N+]1(C(CC)CC)=CN(CCC)(C=C1),-11.884306836,-4.852064734
[N+]1(C(C)(C)CC)=CN(CCC)(C=C1),-11.82743501,-4.794920794
[N+]1(CCCCC)=CN(C(C)C)(C=C1),-11.865803084000001,-4.88580687
[N+]1(CCC(C)C)=CN(C(C)C)(C=C1),-11.874238618,-4.910841358
