Smiles,BalabanJ,BertzCT,Chi1,Chi3n,Chi3v,Chi4n,Chi4v,EState_VSA2,EState_VSA3,EState_VSA5,EState_VSA7,FractionCSP3,Ipc,Kappa2,Kappa3,MaxAbsEStateIndex,MaxAbsPartialCharge,MaxEStateIndex,MaxPartialCharge,MinAbsPartialCharge,NumRotatableBonds,PEOE_VSA6,PEOE_VSA8,PEOE_VSA9,SlogP_VSA3,SlogP_VSA4,VSA_EState1,VSA_EState4,VSA_EState5,VSA_EState6,VSA_EState7,fr_aryl_methyl,fr_unbrch_alkane,HOMO_eV
[N+]1(C)=CN(C(C)C(C)(C(C)C)C(C)C)(C=C1),3.0496131433482963,328.2594699995683,7.296453514110979,4.624833387265997,4.624833387265997,2.6512090924934717,2.6512090924934717,0.0,23.292643390867525,0.0,0.0,0.7857142857142857,3118.8163346345627,4.603089638634643,2.15790685657202,2.4097222222222223,0.2432631935808212,2.4097222222222223,0.2432631935808212,0.2395264937435677,4,34.61868599845312,5.41499046939678,7.04767198267719,7.04767198267719,17.250802561719567,4.4420370370370375,0.3254166666666667,1.3522335600907027,0.5219444444444444,6.457268518518518,1,0,-11.52674904
[N+]1(C)=CN(C(C)C(CC)(CC)CCC)(C=C1),2.935379273025672,310.2901724174951,7.591682683502315,4.2789933670546185,4.2789933670546185,2.915911451029314,2.915911451029314,0.0,11.45683129854474,25.68328649170404,0.0,0.7857142857142857,4326.565306415087,5.512116350248887,2.4747308552444003,2.36375,0.2432630182896715,2.36375,0.2432630182896715,0.2395264949619897,6,27.19203322199788,5.41499046939678,7.04767198267719,7.04767198267719,5.41499046939678,4.487287414965986,0.4590972222222222,0.0,0.586712962962963,11.64146376606198,1,0,-11.747705608
[N+]1(C)=CN(C(C)C(CC)(CC)C(C)C)(C=C1),3.036278107026285,321.2312615328881,7.474398184696557,4.534971641656061,4.534971641656061,3.135137966815649,3.135137966815649,0.0,17.374737344706134,12.84164324585202,0.0,0.7857142857142857,3783.542558727734,5.026927202802605,2.15790685657202,2.3541666666666665,0.2432631923089286,2.3541666666666665,0.2432631923089286,0.2395264937530877,5,27.694948798762496,5.41499046939678,7.04767198267719,7.04767198267719,11.332896515558172,4.472129629629629,0.4087499999999999,0.7131538170823885,0.5589814814814815,8.973804799697657,1,0,-11.653009936
[N+]1(C)=CN(C(CC)CCCCCCC)(C=C1),2.2680872758982598,278.0176380579003,7.774386907679233,3.3231942764681084,3.3231942764681084,2.2329566261854925,2.2329566261854925,0.0,6.041840829147961,44.94575136048208,0.0,0.7857142857142857,5121.480355808934,7.477902899873676,4.3777686661371735,2.36093324829932,0.2432524856552063,2.36093324829932,0.2432524856552063,0.2395266500064725,8,39.53076089108528,0.0,7.04767198267719,7.04767198267719,0.0,4.485678224993702,0.0,0.0,0.6970616024187452,16.001936992580934,1,3,-10.843198672
[N+]1(C)=CN(C(CC)CCCCC(C)C)(C=C1),2.3226895797287748,288.6803776396436,7.6302289553358,3.2511153002963926,3.2511153002963926,2.181989093353488,2.181989093353488,0.0,6.041840829147961,32.10410811463005,0.0,0.7857142857142857,4283.051732852675,6.719624168177635,4.3777686661371735,2.3565221088435373,0.2432524856552159,2.3565221088435373,0.2432524856552159,0.2395266500064725,7,33.61285484492389,0.0,7.04767198267719,7.04767198267719,5.917906046161393,4.478324698706643,0.0,0.851347106743932,0.6882983749055176,13.161004136222392,1,1,-11.086196474
[N+]1(C)=CN(C(CC)CCCC(C)CC)(C=C1),2.3779828785495702,290.68037763964367,7.668233757796585,3.6134877359921873,3.6134877359921873,2.15550265625384,2.15550265625384,0.0,6.041840829147961,32.10410811463005,0.0,0.7857142857142857,4661.756389634242,6.719624168177635,3.9924274084650206,2.3577503779289493,0.2432524856604815,2.3577503779289493,0.2432524856604815,0.2395266500064641,7,33.61285484492389,0.0,7.04767198267719,7.04767198267719,5.917906046161393,4.480099521289997,0.0,0.8872958133870831,0.6854223356009068,13.099145329428069,1,0,-11.12810203
[N+]1(C)=CN(C(CC)CCCC(C)(C)C)(C=C1),2.441034219990469,306.78039741316815,7.420833517085959,3.146417581171472,3.146417581171472,2.1174578268006883,2.1174578268006883,0.0,11.45683129854474,25.68328649170404,0.0,0.7857142857142857,3286.843491450012,5.512116350248887,4.3777686661371735,2.349861111111111,0.2432524856657954,2.349861111111111,0.2432524856657954,0.2395266500064557,5,27.694948798762496,0.0,7.04767198267719,7.04767198267719,5.41499046939678,4.46733949829932,0.471870984504913,0.0,0.6699537037037037,11.643845308956918,1,0,-11.564845
[N+]1(C)=CN(C(CC)CCC(C)CCC)(C=C1),2.432387825857205,290.68037763964367,7.668233757796585,3.456457101557872,3.456457101557872,2.363482381516204,2.363482381516204,0.0,6.041840829147961,32.10410811463005,0.0,0.7857142857142857,4494.578030419388,6.719624168177635,3.9924274084650206,2.3808333333333334,0.2432524870379262,2.3808333333333334,0.2432524870379262,0.2395266500019293,7,33.61285484492389,0.0,7.04767198267719,7.04767198267719,5.917906046161393,4.482933752204586,0.0,0.8781131897203324,0.6810241874527587,13.09313594419249,1,0,-11.28864929
[N+]1(C)=CN(C(CC)CCC(C)C(C)C)(C=C1),2.497181698694827,301.43891540302644,7.540912557858759,3.7755963960287473,3.7755963960287473,2.038052782392567,2.038052782392567,0.0,6.041840829147961,19.26246486877803,0.0,0.7857142857142857,4019.351418879209,6.0710958023386805,3.6558120886772536,2.368101851851852,0.243252487043224,2.368101851851852,0.243252487043224,0.239526650001921,6,27.694948798762496,0.0,7.04767198267719,7.04767198267719,11.835812092322788,4.473790627362057,0.0,1.635779373477786,0.6688888888888889,10.346268896447468,1,0,-11.259533092
[N+]1(C)=CN(C(CC)CCC(CC)CC)(C=C1),2.4903153285126747,286.68037763964367,7.70623856025737,3.745132236152685,3.745132236152685,2.374453422981821,2.374453422981821,0.0,6.041840829147961,32.10410811463005,0.0,0.7857142857142857,4863.441171845902,6.719624168177635,3.6558120886772536,2.363472222222222,0.2432524870431809,2.363472222222222,0.2432524870431809,0.239526650001921,7,33.61285484492389,0.0,7.04767198267719,7.04767198267719,5.917906046161393,4.488258219954648,0.0,0.9151502267573696,0.6822222222222221,13.083781021667926,1,0,-11.344704774
