Isomer,Smile,Energy,HOMO(H),LUMO(H)
Isomer76,[N+]1(CCCC)=CN(C(C)CC(C)CC)(C=C1),-658.713116061,-0.43284,-0.17535
Isomer77,[N+]1(CC(C)C)=CN(C(C)CC(C)CC)(C=C1),-658.715877517,-0.43142,-0.1755
Isomer78,[N+]1(C(C)CC)=CN(C(C)CC(C)CC)(C=C1),-658.71580002,-0.43061,-0.17367
Isomer79,[N+]1(C(C)(C)C)=CN(C(C)CC(C)CC)(C=C1),-658.719874129,-0.42958,-0.16927
Isomer7,[N+]1(C(C)(C)C)=CN(CCCCC(C)C)(C=C1),-658.714216384,-0.41861,-0.17472
Isomer80,[N+]1(CCCC)=CN(C(C)CC(C)(C)C)(C=C1),-658.71443747,-0.43334,-0.17332
Isomer81,[N+]1(CC(C)C)=CN(C(C)CC(C)(C)C)(C=C1),-658.717766952,-0.43113,-0.17568
Isomer82,[N+]1(C(C)CC)=CN(C(C)CC(C)(C)C)(C=C1),-658.720347304,-0.42872,-0.17201
Isomer83,[N+]1(C(C)(C)C)=CN(C(C)CC(C)(C)C)(C=C1),-658.723688383,-0.42916,-0.16829
Isomer84,[N+]1(CCCC)=CN(C(C)C(C)CCC)(C=C1),-658.709837567,-0.4298,-0.17448
Isomer85,[N+]1(CC(C)C)=CN(C(C)C(C)CCC)(C=C1),-658.713957492,-0.43054,-0.17301
Isomer86,[N+]1(C(C)CC)=CN(C(C)C(C)CCC)(C=C1),-658.715394287,-0.42811,-0.17076
Isomer87,[N+]1(C(C)(C)C)=CN(C(C)C(C)CCC)(C=C1),-658.719396047,-0.42719,-0.16622
Isomer88,[N+]1(CCCC)=CN(C(C)C(C)C(C)C)(C=C1),-658.704985624,-0.43096,-0.17684
Isomer89,[N+]1(CC(C)C)=CN(C(C)C(C)C(C)C)(C=C1),-658.715131898,-0.42956,-0.17453
Isomer8,[N+]1(CCCC)=CN(CCCC(C)CC)(C=C1),-658.704150396,-0.42136,-0.18202
Isomer90,[N+]1(C(C)CC)=CN(C(C)C(C)C(C)C)(C=C1),-658.716277184,-0.42888,-0.17295
Isomer91,[N+]1(C(C)(C)C)=CN(C(C)C(C)C(C)C)(C=C1),-658.72034575,-0.42773,-0.16861
Isomer92,[N+]1(CCCC)=CN(C(C)C(CC)CC)(C=C1),-658.709224112,-0.43125,-0.1767
Isomer93,[N+]1(CC(C)C)=CN(C(C)C(CC)CC)(C=C1),-658.713837178,-0.42989,-0.17433
Isomer94,[N+]1(C(C)CC)=CN(C(C)C(CC)CC)(C=C1),-658.714737652,-0.42914,-0.17264
Isomer95,[N+]1(C(C)(C)C)=CN(C(C)C(CC)CC)(C=C1),-658.718839882,-0.42815,-0.16825
Isomer96,[N+]1(CCCC)=CN(C(C)C(C)(C)CC)(C=C1),-658.710675866,-0.42903,-0.17397
Isomer97,[N+]1(CC(C)C)=CN(C(C)C(C)(C)CC)(C=C1),-658.713691025,-0.42904,-0.17399
Isomer98,[N+]1(C(C)CC)=CN(C(C)C(C)(C)CC)(C=C1),-658.716419817,-0.42731,-0.17047
Isomer99,[N+]1(C(C)(C)C)=CN(C(C)C(C)(C)CC)(C=C1),-658.72034052,-0.42632,-0.16578
Isomer9,[N+]1(CC(C)C)=CN(CCCC(C)CC)(C=C1),-658.708987211,-0.42441,-0.17983
